AMP	DEL	Frame_Shift_Del	Frame_Shift_Ins	In_Frame_Del	In_Frame_Ins	Missense_Mutation	Nonsense_Mutation	Nonstop_Mutation	RNA	Splice_Site	Translation_Start_Site
SMARCC2	0	1	9	2	1	0	82	12	0	0	4	0
SMARCD1	0	0	2	0	0	1	18	4	1	0	1	0
SMARCD2	0	0	2	0	1	0	22	4	0	0	2	0
SMARCD3	0	0	1	0	1	0	30	1	0	0	1	0
SMARCE1	0	0	0	0	2	0	21	4	0	0	4	0
SMC1B	0	0	4	0	0	1	68	8	0	0	2	0
SMC2	0	0	8	4	0	0	73	3	0	0	2	0
SMC3	0	0	4	0	3	0	75	2	0	0	0	0
SMC4	0	0	9	1	1	0	87	6	0	0	0	0
SMUG1	0	0	0	0	0	0	13	2	0	0	0	0
SMYD2	0	0	2	0	0	1	17	3	0	0	1	0
SMYD3	0	0	4	1	0	0	30	2	0	0	1	0
SOS1	53	0	0	0	0	0	114	4	0	0	1	0
SOX17	18	0	0	0	0	1	43	1	0	0	0	0
SOX9	0	0	8	24	6	1	48	11	1	0	3	0
SPC24	0	0	0	0	0	0	6	0	0	0	0	0
SPDL1	0	0	3	0	1	0	32	4	0	0	0	1
SPIDR	0	0	2	1	1	1	49	6	0	0	0	0
SPO11	0	0	3	0	0	0	21	2	0	0	2	0
SPOP	119	0	0	0	1	0	118	4	0	0	3	0
SPRTN	0	0	3	1	0	1	30	4	0	0	0	0
SRC	0	0	1	0	0	0	25	2	0	0	0	0
SSNA1	0	0	0	0	0	0	5	0	0	0	0	0
STAG1	0	0	5	0	1	0	106	9	0	0	4	0
STAG2	0	1	26	8	2	0	86	49	0	0	15	0
STAG3	0	0	1	0	1	0	71	3	0	0	1	0
STK11	0	0	22	10	0	1	49	32	0	0	13	0
STRA13	0	0	0	0	0	0	3	0	0	0	1	0
SUDS3	0	0	1	0	0	0	8	3	1	0	0	0
SUMO1	0	0	3	0	0	0	7	2	0	0	0	0
SUMO2	0	0	2	0	0	0	4	0	0	0	1	0
SUMO3	0	0	1	0	0	0	3	1	0	0	1	0
SUN1	0	1	6	1	0	0	45	4	0	0	2	0
SUN2	0	0	2	1	0	0	26	5	0	0	0	0
SUPT20H	0	0	4	2	1	0	40	7	0	0	3	0
SUPT3H	0	0	2	0	0	0	28	2	1	0	2	0
SUPT7L	0	0	1	0	0	0	18	1	0	0	0	0
SUV39H2	0	0	2	0	0	0	21	3	0	0	0	0
SUV420H1	0	0	2	1	0	0	68	4	0	0	2	0
SUV420H2	0	0	0	0	0	0	18	1	1	0	0	1
SUZ12	0	0	6	1	0	0	32	3	0	0	1	0
SYCE1	0	0	1	0	1	0	39	0	0	0	0	0
SYCE2	0	0	0	0	0	0	14	2	0	0	0	0
SYCE3	0	0	0	0	0	0	2	0	0	0	0	0
SYCP1	0	0	5	1	0	0	109	12	0	0	6	0
SYCP2	0	0	6	2	2	0	106	15	0	0	6	0
SYCP3	0	0	0	1	0	0	17	0	0	0	0	0
SYNE1	0	0	19	8	1	0	911	77	0	0	20	0
SYNE2	0	0	20	6	2	0	352	37	1	0	11	0
TADA1	0	0	0	0	0	0	19	2	0	0	2	0
TADA2A	0	0	1	0	0	0	24	3	0	0	1	0
TADA2B	0	0	0	1	1	0	22	4	0	0	0	0
TADA3	0	0	1	0	0	0	26	0	0	0	1	0
TAF10	0	0	1	0	1	0	6	0	0	0	0	0
TAF12	0	0	0	0	0	0	4	0	0	0	0	0
TAF5L	0	0	1	0	0	0	36	4	0	0	0	0
TAF6L	0	0	2	0	2	0	31	0	0	0	0	0
TAOK1	0	0	5	0	1	0	59	11	0	0	2	0
TBL1X	0	1	1	0	0	1	36	4	0	0	1	0
TBL1XR1	0	0	1	3	1	0	49	5	0	0	8	0
TBX3	0	0	12	12	3	0	61	3	0	0	4	0
TCEA1	0	0	0	1	0	0	12	1	0	0	2	0
TCF12	0	3	13	8	1	0	37	8	0	0	5	0
TDG	0	0	1	0	0	1	25	3	0	0	4	0
TDP1	0	0	2	0	0	0	44	0	0	0	0	0
TDP2	0	0	2	0	1	0	23	1	0	0	0	0
TERF1	0	1	0	1	0	0	30	1	0	0	2	0
TERF2	0	0	1	0	1	0	16	0	0	0	1	0
TERF2IP	0	0	4	0	0	0	15	1	0	0	0	0
TERT	0	0	2	0	0	0	61	2	0	0	1	0
TEX12	0	0	0	0	0	0	4	0	0	0	0	1
TEX15	0	0	8	3	1	0	204	22	0	4	3	0
TFDP1	0	0	0	0	0	0	38	6	0	0	0	1
TFDP2	0	0	4	0	1	0	30	2	0	0	2	0
TGFBR2	0	0	5	4	3	0	73	16	0	0	5	0
THRAP3	0	0	7	6	0	0	53	18	0	0	0	0
TIMELESS	0	0	0	1	0	0	84	7	0	0	3	0
TINF2	0	0	1	1	1	0	17	2	1	0	0	0
TIPIN	0	0	0	0	0	0	12	1	0	0	0	0
TK1	0	0	1	0	3	0	11	0	0	0	0	0
TLR4	0	0	4	2	0	0	189	18	0	0	3	1
TMPO	0	0	3	2	1	0	43	4	0	0	1	0
TOP2A	0	0	2	1	0	0	68	4	0	0	0	1
TOP3A	0	0	8	0	0	1	47	5	0	0	1	0
TOPBP1	0	0	5	2	0	0	84	6	0	0	3	0
TP53	0	1	317	96	61	11	2235	444	0	0	233	1
TP53BP1	0	0	14	3	3	0	108	13	0	0	6	0
TPR	0	0	11	2	3	0	138	11	0	0	3	1
TPX2	0	0	1	0	1	0	53	7	0	0	1	0
TRAF3	0	3	8	1	0	0	35	9	0	0	1	0
TRIM25	0	0	0	0	0	0	32	3	0	0	1	0
TSC1	0	2	20	1	1	0	55	16	0	0	10	0
TUBA1A	0	0	1	0	0	0	31	0	0	0	0	0
TUBA1B	0	0	3	0	0	0	16	3	0	0	1	0
TUBA1C	0	0	1	0	0	0	20	4	0	0	0	0
TUBA3C	0	0	3	0	0	0	115	6	0	0	1	0
TUBA3D	0	0	1	0	0	0	42	0	0	0	1	0
TUBA3E	0	0	0	0	1	0	33	2	0	0	0	0
TUBA4A	0	0	0	0	3	0	29	1	0	0	0	0
TUBA4B	0	0	0	0	0	0	0	0	0	41	0	0
TUBA8	0	0	0	0	0	0	30	2	0	0	0	0
TUBB1	0	0	0	1	0	0	34	3	0	0	1	0
TUBB2A	0	0	1	1	0	0	24	0	0	0	0	0
TUBB2B	0	0	1	0	0	0	26	1	0	0	0	1
TUBB4A	0	0	3	0	0	0	58	0	0	0	0	0
TUBB4B	0	0	0	1	1	0	25	0	0	0	0	0
TUBB6	0	0	0	1	0	0	34	1	0	0	0	0
TUBB8	0	0	1	0	0	0	49	1	0	0	0	1
TUBG1	0	0	1	0	0	0	29	0	0	0	2	0
TUBG2	0	0	0	0	0	0	24	2	0	0	0	0
TUBGCP2	0	0	6	0	0	0	57	3	0	0	1	0
TUBGCP3	0	1	5	0	0	0	46	6	0	0	2	0
TUBGCP4	0	0	1	1	0	0	18	2	0	0	1	0
TUBGCP5	0	0	4	1	0	0	56	3	0	0	3	0
TUBGCP6	0	0	3	2	1	0	99	8	0	0	0	0
TYMS	0	0	0	0	0	0	16	1	0	0	0	0
U2AF1	71	0	0	0	3	0	44	1	0	0	0	0
UBA52	0	0	0	0	1	0	12	1	0	0	0	0
UBA7	0	0	0	0	1	0	35	0	0	0	0	0
UBB	0	3	2	0	0	0	9	1	0	0	0	0
UBC	0	0	2	2	2	1	52	2	0	0	0	0
UBE2B	0	1	0	0	0	0	5	0	0	0	0	0
UBE2C	0	0	0	0	0	0	11	0	0	0	2	0
UBE2D1	0	0	0	0	0	0	5	0	0	0	1	0
UBE2E1	0	0	0	0	0	0	4	0	0	0	1	0
UBE2I	0	0	0	0	0	0	11	2	0	0	0	0
UBE2L6	0	0	0	0	1	0	10	1	0	0	0	0
UBE2N	0	0	0	0	0	0	12	0	0	0	0	0
UBE2T	0	1	2	0	0	0	8	1	0	0	1	0
UBE2V2	0	0	0	0	0	0	12	1	0	0	0	0
UFD1L	0	0	2	0	0	0	9	1	0	0	1	0
UIMC1	0	0	3	2	1	0	29	1	0	0	0	0
UNCX	16	0	0	0	0	0	15	1	0	0	0	0
UNG	0	0	1	2	0	0	13	0	0	0	0	0
USO1	0	0	3	1	0	0	27	0	0	0	0	0
USP1	0	0	1	0	2	0	32	5	0	0	0	0
USP10	0	0	3	1	0	0	43	3	0	0	0	0
USP22	0	9	1	0	0	0	25	2	0	0	0	0
USP43	0	0	3	0	0	0	54	6	0	0	0	0
USP45	0	1	2	0	0	0	35	1	0	0	0	0
USP7	0	0	1	1	1	0	79	4	0	0	1	0
USP9X	0	0	22	12	2	0	154	27	0	0	9	0
UTY	0	0	2	0	0	0	15	4	0	0	1	0
UVSSA	0	0	4	0	0	0	49	3	0	0	1	0
VCP	0	0	2	0	0	0	42	3	0	0	0	0
VHL	0	0	37	21	3	1	81	31	1	0	18	0
VPS72	0	0	0	0	0	0	15	2	0	0	2	0
VRK1	0	0	1	0	0	0	21	1	0	0	1	0
VRK2	0	0	2	1	0	0	32	3	0	0	2	0
WAPAL	0	0	2	1	2	0	65	4	0	0	2	0
WDR48	0	0	2	0	0	0	30	2	0	0	1	0
WDR5	0	0	8	1	0	0	14	4	0	0	4	0
WDR77	0	0	0	0	0	0	17	1	0	0	2	0
WEE1	0	0	3	0	1	0	26	1	0	0	0	0
WHSC1	0	0	2	4	0	0	72	1	0	0	0	0
WHSC1L1	0	0	7	1	0	0	80	11	0	0	1	0
WRAP53	0	0	5	3	0	0	25	3	0	0	0	0
WRN	0	2	10	2	1	0	82	5	0	0	2	0
WT1	22	0	0	0	1	0	58	4	1	0	3	0
XAB2	0	0	3	0	1	0	50	1	0	0	2	0
XPA	0	0	0	0	0	0	11	1	0	0	0	0
XPC	0	0	1	0	0	0	39	0	0	0	1	0
XPO1	0	0	1	0	1	0	62	2	0	0	1	0
XRCC1	0	2	2	0	0	0	29	3	0	0	0	0
XRCC2	0	0	4	0	0	0	16	3	0	0	1	0
XRCC3	0	0	0	1	0	1	12	0	0	0	0	0
XRCC4	0	0	0	1	0	0	17	1	0	0	0	0
XRCC5	0	0	3	2	2	0	33	3	0	0	0	0
XRCC6	0	0	1	1	0	0	28	0	0	0	3	0
YEATS2	0	0	2	1	0	0	87	4	1	0	3	0
YEATS4	0	0	1	0	0	0	13	0	0	0	0	0
YWHAB	0	0	0	0	0	0	10	0	0	0	0	1
YWHAE	0	1	0	0	0	0	13	4	0	0	0	0
YWHAG	0	0	0	0	0	0	15	1	0	0	0	0
YWHAH	0	2	0	0	1	0	9	0	0	0	1	0
YWHAQ	0	0	0	1	0	0	18	2	0	0	1	0
YWHAZ	0	0	2	1	0	0	17	0	0	0	1	0
YY1	0	0	3	2	0	0	16	2	0	0	0	0
ZC3H12A	0	0	1	2	2	0	52	3	0	0	0	0
ZFP36L2	0	0	6	27	0	1	48	2	1	0	0	0
ZNF385A	0	0	2	0	0	0	21	2	0	0	0	0
ZNF750	0	0	13	7	0	0	40	19	0	0	0	4
ZNF830	0	0	4	0	0	0	15	1	0	0	0	0
ZW10	0	0	2	0	0	0	44	1	0	0	0	1
ZWILCH	0	0	3	1	0	0	23	3	0	0	2	0
ZWINT	0	0	2	0	0	0	42	7	0	0	5	0
ZZZ3	0	0	2	0	2	0	56	4	0	0	2	0
