sample_barcode	amplicon_index	amplicon_classification	amplicon_intervals
TCGA-BR-4357-01	9	Circular	"1:18846149-24156657,1:246787020-246807527,1:247808789-247809297,3:127613311-127633818,3:177103106-177103614,11:71862545-72083052"
TCGA-BR-4366-01	1	Heavily-rearranged	"4:59272805-59293365,8:17781276-17781836,13:58148322-58148882,20:15667935-16092611,20:46058644-54331309,GL000220.1:0-161802"
TCGA-BR-4366-01	10	BFB	"11:83551988-88952490,12:110429411-110429971,13:88152282-88152842"
TCGA-BR-4366-01	11	BFB	18:34265378-37011143
TCGA-BR-4366-01	12	BFB	4:138633925-142023575
TCGA-BR-4366-01	2	Circular	1:168390570-169200199
TCGA-BR-4366-01	4	Linear	1:178276864-180616454
TCGA-BR-4366-01	5	BFB	"12:34016773-34017333,13:39888059-49407596"
TCGA-BR-4366-01	8	BFB	"19:1493043-1493603,19:5984106-5984666,19:27834766-33065325,X:10357088-10357648"
TCGA-BR-4366-01	9	Linear	5:14308132-14531070
TCGA-BR-4367-01	2	Circular	"12:9834607-10167294,12:12507475-12861082,12:25251110-25639471,12:46405460-46748643,18:65407186-65407745,X:146905280-146905839"
TCGA-BR-4367-01	4	Linear	11:3332060-4404588
TCGA-BR-4367-01	5	Circular	"12:52011853-52012412,18:18952027-21393541"
TCGA-BR-4367-01	6	Heavily-rearranged	"12:42073104-43667593,12:54212728-54413286,12:55067061-55267620,20:29408419-29608978"
TCGA-BR-4369-01	2	Circular	"7:50683601-56795350,7:62641681-62642249,7:64262567-64627255,7:64880639-67709816,7:71176930-73244266"
TCGA-BR-4369-01	4	Circular	"12:58038770-58480972,12:69483203-69683771,12:70834732-71035299,12:71584548-71605115"
TCGA-BR-4369-01	5	Linear	17:47466585-51048711
TCGA-BR-4369-01	6	Linear	20:61164120-63025520
TCGA-BR-6454-01	2	Linear	7:91014160-100510873
TCGA-BR-6457-01	1	Linear	8:8581958-12827228
TCGA-BR-6458-01	1	Circular	"1:38902444-42688486,1:113103732-119641693,1:119715323-119915842,1:120187923-120584861,1:121209555-121410075,1:144821368-145021887,15:101266095-101266615"
TCGA-BR-6458-01	2	BFB	7:54576531-56116719
TCGA-BR-6458-01	3	Linear	5:36313404-43210855
TCGA-BR-6458-01	5	BFB	"1:174471284-174471804,7:28477264-28477784,7:82196710-98450416,13:32973657-32974177,X:76062590-76063110"
TCGA-BR-6458-01	7	Linear	2:96634656-96986168
TCGA-BR-6458-01	8	Heavily-rearranged	"8:6749695-18602306,13:74313544-74314064"
TCGA-BR-6564-01	1	Heavily-rearranged	"7:94916639-95873664,7:97623008-98197405"
TCGA-BR-6565-01	2	Linear	17:36368310-40758366
TCGA-BR-6565-01	3	Linear	"17:34036308-36352952,17:41416450-41616969,17:41727947-41928466,17:42014325-42214844"
TCGA-BR-6705-01	1	Linear	12:1-3915003
TCGA-BR-6705-01	3	Heavily-rearranged	"6:91804555-92004936,8:11338730-12336179,8:122458546-131560740,12:24681461-25900539,12:41761065-48137636,X:92607989-92608371"
TCGA-BR-6706-01	1	Circular	"7:54921445-55723458,9:3949370-7804681"
TCGA-BR-6801-01	1	Heavily-rearranged	"8:15269363-15289782,13:73553880-73764647,13:74213854-74414273"
TCGA-BR-8373-01	3	Linear	7:66468119-66523521
TCGA-BR-8373-01	4	Linear	11:102266642-102599175
TCGA-BR-8373-01	5	Linear	19:18206072-18489787
TCGA-BR-8373-01	6	Linear	20:44420279-44813366
TCGA-BR-8373-01	7	Linear	20:60923131-61280725
TCGA-BR-8486-01	1	Linear	16:48031019-48455247
TCGA-BR-8486-01	2	Heavily-rearranged	"20:41470017-44119515,20:44123722-44124215"
TCGA-BR-8486-01	3	Linear	20:59770940-60821835
TCGA-BR-8486-01	4	Heavily-rearranged	"6:41090169-45886764,6:126470469-126470962"
TCGA-BR-8486-01	5	BFB	"6:39514770-39943696,12:51703566-52111958,12:58022995-58023488"
TCGA-BR-8682-01	1	Linear	12:121032099-121730307
TCGA-BR-A4J4-01	2	Heavily-rearranged	"17:34617076-34917714,17:35885803-36298518,17:37705638-38050170,17:45506863-45528884"
TCGA-BS-A0TA-01	1	Circular	8:129510235-129607629
TCGA-BS-A0TE-01	1	Linear	7:107829859-107851491
TCGA-BS-A0TE-01	6	Linear	20:22440986-22464949
TCGA-BS-A0TI-01	3	Linear	10:96991388-97391927
TCGA-BS-A0TI-01	5	Heavily-rearranged	"7:127525716-149144775,7:158510416-158510889"
TCGA-BS-A0U9-01	10	Linear	8:144920690-145232496
TCGA-BS-A0U9-01	11	Linear	6:42817970-42942700
TCGA-BS-A0U9-01	13	Linear	11:14427928-14735849
TCGA-BS-A0U9-01	14	Linear	7:35343983-35894737
TCGA-BS-A0U9-01	15	Linear	8:42155986-42933372
TCGA-BS-A0U9-01	16	Linear	7:35900149-36677451
TCGA-BS-A0U9-01	20	BFB	8:37676710-42140235
TCGA-BS-A0U9-01	4	Linear	3:54984223-55874765
TCGA-BS-A0U9-01	5	Linear	8:36778768-37330262
TCGA-BS-A0U9-01	6	Linear	3:55890815-56674375
TCGA-BS-A0U9-01	9	Linear	3:187471365-187937306
TCGA-BS-A0V8-01	1	Linear	2:69794982-70028925
TCGA-BS-A0V8-01	2	Linear	2:15825987-16139729
TCGA-BT-A0S7-01	1	Circular	12:69097773-70193376
TCGA-BT-A0YX-01	2	Circular	8:128117187-128824792
TCGA-BT-A20N-01	1	Linear	11:75166867-75435129
TCGA-BT-A20N-01	2	BFB	"5:6649015-31483273,8:155544-155966"
TCGA-BT-A20N-01	3	Linear	13:73746691-74092406
TCGA-BT-A20N-01	4	Linear	5:36469806-40389172
TCGA-BT-A20P-01	2	Circular	"4:1158128-2854276,4:134125552-134126058,9:19649194-21278585"
TCGA-BT-A20Q-01	4	Heavily-rearranged	"7:57538066-57739488,10:3804209-9010379,17:17897028-21595392,17:21724737-21925315,17:25295937-25446515,20:25944364-26193631,GL000217.1:19912-172149"
TCGA-BT-A20R-01	2	Linear	18:30843684-32163401
TCGA-BT-A20R-01	3	Heavily-rearranged	"4:22006640-22007081,6:10704672-15295511,6:18563102-18778166,6:19165768-24694901,6:28383841-28584282,6:30542175-32869045,6:33143574-33144015,19:36310693-41704692,22:32927967-32928408"
TCGA-BT-A20T-01	5	Linear	1:246073204-246285980
TCGA-BT-A20V-01	1	Linear	3:167628669-168677468
TCGA-BT-A20V-01	11	Linear	8:39131635-39565081
TCGA-BT-A20V-01	14	Circular	"9:3367700-8313622,9:17020905-21910558,20:7589391-23681074,20:38463727-38791929"
TCGA-BT-A20V-01	15	Linear	15:23587684-27893639
TCGA-BT-A20V-01	16	Linear	11:57412971-57450017
TCGA-BT-A20V-01	17	Heavily-rearranged	"7:148566026-148566605,12:889901-8309381"
TCGA-BT-A20V-01	18	Linear	12:8309399-8698471
TCGA-BT-A20V-01	19	Linear	20:32087000-32953693
TCGA-BT-A20V-01	2	Linear	2:25754004-25798274
TCGA-BT-A20V-01	20	Linear	12:17928327-20212069
TCGA-BT-A20V-01	21	Linear	15:56566328-56735690
TCGA-BT-A20V-01	22	Linear	15:56737924-56855263
TCGA-BT-A20V-01	23	Linear	15:86118476-89131797
TCGA-BT-A20V-01	24	Linear	19:32453479-32974686
TCGA-BT-A20V-01	3	Linear	3:168686675-175773388
TCGA-BT-A20V-01	4	Linear	5:914232-6293667
TCGA-BT-A20V-01	5	Linear	5:7308216-15331400
TCGA-BT-A20V-01	6	Linear	5:31392301-38342680
TCGA-BT-A20V-01	7	Linear	5:15333011-31386469
TCGA-BT-A20V-01	8	Linear	5:38346570-39318836
TCGA-BT-A20V-01	9	Linear	5:39330499-45378456
TCGA-BT-A20W-01	1	Heavily-rearranged	"3:58170794-58171188,5:0-3100272,5:3146910-3347304,5:4037867-4238260,5:5391347-5803159,5:5886415-5886809,5:9665771-11725081,5:12107560-12128171,5:12800538-12820931,5:12824482-15033091,6:9396447-9396841,8:41321733-42867048,12:637244-2220258,12:2646249-2846642,12:4369333-4389726,15:52387909-52388303,18:41634720-41635114,20:8193161-8193555"
TCGA-BT-A20W-01	10	Heavily-rearranged	"1:150256760-151059321,1:151622752-151832781,1:161276579-161276973,1:201052690-201253083,1:204239468-204439861,1:206768505-206807757,1:211680829-211701223,1:227148233-227148627,11:102956829-102957223,21:42939394-43167245,21:45548157-45568550,21:47327838-47550856"
TCGA-BT-A20W-01	3	Linear	1:171362475-171678633
TCGA-BT-A20W-01	6	BFB	"8:124450887-124651280,8:124744765-124765159,8:130325887-130675441"
TCGA-BT-A20W-01	9	Linear	21:45935432-46214597
TCGA-BT-A2LA-01	2	Linear	6:18662241-22483285
TCGA-BT-A2LA-01	3	Linear	10:64229880-64331851
TCGA-BT-A2LA-01	4	Linear	16:10136993-10346481
TCGA-BT-A2LA-01	5	Linear	19:29354701-29454906
TCGA-BT-A2LA-01	6	BFB	19:38907885-42486046
TCGA-BT-A2LB-01	1	Linear	3:111535118-113476393
TCGA-BT-A2LB-01	4	BFB	"3:118508909-128608447,7:45536258-45536724"
TCGA-BT-A2LD-01	1	Linear	4:75655872-76096853
TCGA-BT-A2LD-01	3	Linear	4:77375570-78421819
TCGA-BT-A2LD-01	4	Circular	"4:85847014-91748635,6:19366125-23441145,19:28447811-33545099,20:26220197-26220634,X:57624696-57625133"
TCGA-BT-A2LD-01	6	Linear	8:96007392-96627774
TCGA-BT-A2LD-01	7	Heavily-rearranged	"8:97262758-103455128,10:8827900-9028336,19:36794078-37062081,19:43031304-43231741,19:53421527-57666520"
TCGA-BT-A2LD-01	8	Linear	X:131398130-136972993
TCGA-BT-A3PH-01	1	Linear	2:134605128-136541030
TCGA-BT-A3PH-01	5	BFB	"1:160926985-161211956,11:65618900-71036921,GL000202.1:0-40103"
TCGA-BT-A3PJ-01	1	Linear	1:158924392-164056026
TCGA-BT-A3PJ-01	2	Linear	"7:51544833-57192002,7:57477313-57497856,9:7634175-7634718,21:10791074-10991616"
TCGA-BT-A3PJ-01	3	Linear	6:63444496-64698124
TCGA-BT-A3PJ-01	4	BFB	20:39467973-43793512
TCGA-BT-A3PJ-01	5	Linear	5:29907401-29992365
TCGA-BT-A3PJ-01	6	Linear	6:20162877-22483598
TCGA-BT-A3PJ-01	7	Linear	7:71420911-71622557
TCGA-BT-A3PK-01	1	Linear	17:37705638-38062739
TCGA-BW-A5NO-01	11	Linear	6:45381583-45846905
TCGA-BW-A5NO-01	12	Linear	"15:72692155-73143598,17:77234670-80003941"
TCGA-BW-A5NO-01	14	Circular	12:57118256-57341455
TCGA-BW-A5NO-01	15	Linear	6:43925525-44795070
TCGA-BW-A5NO-01	16	Linear	12:92773899-93153874
TCGA-BW-A5NO-01	17	Linear	12:103167155-103337974
TCGA-BW-A5NO-01	2	Linear	6:43512345-43924212
TCGA-BW-A5NO-01	20	Heavily-rearranged	"7:57611497-57812267,17:19655564-25316443,20:25742958-25763728,20:26036042-26056812"
TCGA-BW-A5NO-01	21	Heavily-rearranged	"17:25316462-25573275,17:58973752-58974522"
TCGA-BW-A5NO-01	23	Linear	17:56134452-58973280
TCGA-BW-A5NO-01	25	Linear	20:49302575-49445446
TCGA-BW-A5NO-01	7	Linear	3:172020421-172369345
TCGA-BW-A5NP-01	2	Heavily-rearranged	"20:3053104-3073930,20:53539052-53539878,20:53960020-58579398,20:60334301-62219837"
TCGA-BW-A5NP-01	5	Linear	10:31594510-31623231
TCGA-BW-A5NP-01	6	Linear	20:51989356-52213542
TCGA-BW-A5NP-01	7	Linear	20:52552084-52914365
TCGA-BW-A5NP-01	8	Linear	20:52914727-53397181
TCGA-BW-A5NP-01	9	Linear	20:53420332-53532627
TCGA-C4-A0F0-01	1	Circular	"7:681938-682344,8:105782118-105982524,8:126330871-131401536,11:59874463-59874869,11:93361880-93362286,X:32751114-32751520,X:45587382-45587788,X:142441092-142441498"
TCGA-C4-A0F0-01	3	Circular	"7:26371763-26372169,8:52631042-52831448,11:38797302-39363702,11:99728467-105202958,13:97420891-97621296,20:60861493-60861899"
TCGA-C4-A0F0-01	7	Circular	12:25074603-25972069
TCGA-C4-A0F6-01	3	BFB	"5:75449006-75469034,12:68903654-70644037"
TCGA-C5-A0TN-01	2	BFB	"6:144247201-144247663,8:142065916-142066378,11:94427821-109936611,X:128670513-128670975"
TCGA-C5-A1BJ-01	1	Linear	19:36571819-40233061
TCGA-C5-A1BJ-01	2	Linear	1:168827350-169504126
TCGA-C5-A1BJ-01	3	Circular	11:101243891-104143828
TCGA-C5-A1BN-01	10	Linear	10:53244434-53376965
TCGA-C5-A1BN-01	12	BFB	"8:52730815-52731483,11:31422797-41399498"
TCGA-C5-A1BN-01	13	Linear	13:73895074-74263054
TCGA-C5-A1BN-01	15	Linear	18:61313802-61361160
TCGA-C5-A1BN-01	17	Linear	21:39665531-40182177
TCGA-C5-A1BN-01	18	Linear	21:40190734-43231392
TCGA-C5-A1BN-01	19	Linear	10:59174426-66970891
TCGA-C5-A1BN-01	2	Linear	7:16529159-17015794
TCGA-C5-A1BN-01	20	Linear	11:100720107-106892472
TCGA-C5-A1BN-01	4	Linear	"21:19312317-19533392,21:23095393-25105989"
TCGA-C5-A1BN-01	5	Linear	7:3800428-7297236
TCGA-C5-A1BN-01	6	Linear	7:15477067-15603032
TCGA-C5-A1BN-01	7	Linear	7:15387379-15403527
TCGA-C5-A1BN-01	8	Linear	7:15606337-16525555
TCGA-C5-A1BN-01	9	Linear	7:65492612-67916722
TCGA-C5-A1M9-01	5	Circular	8:128873664-129130872
TCGA-C5-A1ML-01	2	Circular	3:160935296-197638677
TCGA-C5-A2LV-01	1	BFB	7:87289935-88981179
TCGA-C5-A2LV-01	2	Linear	8:41631929-42107105
TCGA-C5-A2LV-01	3	BFB	"11:98302927-103224109,X:135104733-135105381"
TCGA-C5-A2LX-01	1	Circular	12:118513276-118811583
TCGA-C5-A2LX-01	2	Linear	17:43081990-43520779
TCGA-C5-A2LY-01	1	Linear	19:12776301-15802504
TCGA-C5-A2LY-01	2	Linear	3:189611025-189632651
TCGA-C5-A2LY-01	3	BFB	11:99392856-104618765
TCGA-C5-A2LY-01	4	Linear	12:8050606-8459433
TCGA-C5-A2LY-01	5	BFB	"6:159703963-159704534,12:1216597-1987744,18:1117873-8519144"
TCGA-C5-A2M1-01	1	Circular	8:128626380-129036825
TCGA-C5-A2M1-01	2	Linear	"14:20233594-24326172,GL000220.1:0-161802"
TCGA-C5-A3HD-01	1	Circular	1:114192199-114481305
TCGA-C5-A3HD-01	2	Linear	5:36523536-36739458
TCGA-C5-A3HD-01	4	Linear	18:8503864-8836968
TCGA-C5-A3HD-01	5	Linear	"15:71863633-77253261,15:77912602-78113081,15:78139891-78340371"
TCGA-C5-A3HE-01	1	Linear	"8:128746467-129251338,X:76531071-76531519"
TCGA-C5-A3HF-01	1	Linear	8:128584330-128886834
TCGA-C5-A3HL-01	1	Linear	3:130283118-197638677
TCGA-C8-A12L-01	12	Linear	10:7949265-8029879
TCGA-C8-A12L-01	14	BFB	10:11674965-13646255
TCGA-C8-A12L-01	15	Linear	10:18387240-18405408
TCGA-C8-A12L-01	19	Linear	17:35261301-36109822
TCGA-C8-A12L-01	2	Linear	1:120404591-120520715
TCGA-C8-A12L-01	20	Heavily-rearranged	"19:3275128-3706453,19:4361367-4361925,19:4497367-4497925,19:5689933-5690491,19:7741142-7761699,19:7965725-7986283"
TCGA-C8-A12L-01	21	Heavily-rearranged	"1:93926860-94497249,1:94532774-94533332,1:117062674-120329044,17:37628898-38257716"
TCGA-C8-A12L-01	3	Linear	1:150886751-151806205
TCGA-C8-A12L-01	4	Linear	1:187102875-187130516
TCGA-C8-A12L-01	5	Linear	2:203685273-203698759
TCGA-C8-A12L-01	7	Linear	3:170840154-170856168
TCGA-C8-A12Q-01	1	Linear	6:106903478-107378912
TCGA-C8-A12Q-01	2	Linear	1:149895953-151179645
TCGA-C8-A12Q-01	3	BFB	6:130802476-131663546
TCGA-C8-A12Q-01	5	Linear	11:11893216-12083579
TCGA-C8-A12Q-01	6	Linear	17:35527971-35539791
TCGA-C8-A12Q-01	7	Heavily-rearranged	"11:10198375-11023190,11:48374490-50715587,11:66840349-70653004,11:89105013-89142776,11:89354802-89355302,11:89410199-89410699,11:100306715-101119218,17:34177205-34435971,17:37669431-38355370,22:24990059-25436816"
TCGA-C8-A12Q-01	8	Linear	11:78497520-78913824
TCGA-C8-A130-01	10	Linear	8:57652255-64315765
TCGA-C8-A130-01	11	Linear	3:127424883-127800541
TCGA-C8-A130-01	12	Linear	21:40308400-40926653
TCGA-C8-A130-01	13	Linear	21:42606523-42871375
TCGA-C8-A130-01	14	Linear	21:42871402-43688666
TCGA-C8-A130-01	15	Linear	4:107315056-107433050
TCGA-C8-A130-01	16	Linear	4:107440862-107702098
TCGA-C8-A130-01	2	Linear	21:38329621-38874820
TCGA-C8-A130-01	20	Circular	"3:4312799-5054180,3:12632180-18139816,3:82821341-87983900,4:108358562-108359073,5:27173248-27173759,5:168735679-168736190,6:75363232-79846851,6:104602842-109260070,6:130397325-136334349,7:143861029-144061540,8:105231391-105231902,8:124808291-131020986,9:119978683-119979194,12:83679393-93863877,12:93902444-94914093,12:95949879-95950390,12:96056580-97779742,13:30509173-31426770,13:31427149-31427660,14:67555371-67555882,18:67205784-69389158,X:46471871-46472382,X:53934957-53935468,X:74106535-74107046"
TCGA-C8-A130-01	21	Linear	8:64319253-77679929
TCGA-C8-A130-01	23	Linear	8:83636017-83733865
TCGA-C8-A130-01	3	Linear	2:174308627-174344356
TCGA-C8-A130-01	4	BFB	"9:125443198-130446493,18:24319137-25531984"
TCGA-C8-A130-01	5	Linear	3:126872885-127419118
TCGA-C8-A130-01	6	Linear	3:12090733-12631806
TCGA-C8-A130-01	9	Linear	21:37886772-37925373
TCGA-CD-5799-01	1	Linear	7:91788761-99027044
TCGA-CD-5799-01	10	Heavily-rearranged	"17:28565948-28843684,17:31325995-31781847,17:33500618-33728267,17:34232627-34458839,17:34825854-35900231,17:37552115-38108920,17:43563436-43763930,17:44061097-45072501,17:62824874-63029573,X:68003359-68003853"
TCGA-CD-5799-01	11	Linear	11:67131424-70337683
TCGA-CD-5799-01	2	Linear	8:74498239-74900014
TCGA-CD-5799-01	4	Linear	8:38402150-38772162
TCGA-CD-5799-01	5	Linear	8:39120663-39179303
TCGA-CD-5799-01	7	Linear	8:41896337-42266876
TCGA-CD-5799-01	8	Heavily-rearranged	"8:75474734-76670492,8:77134620-77507959"
TCGA-CD-5800-01	1	Linear	5:1-1848514
TCGA-CD-5800-01	10	Circular	14:25688584-28029598
TCGA-CD-5800-01	11	Heavily-rearranged	"12:6936875-6937451,18:1352872-1353448,18:7447026-7647601,18:8278017-8478592,18:22343707-22344283,18:30998646-37316048,18:39424631-40775690"
TCGA-CD-5800-01	12	Linear	19:15101862-16129024
TCGA-CD-5800-01	16	BFB	18:13418545-13797293
TCGA-CD-5800-01	17	Circular	"14:68503769-68704344,14:69134996-69335572,17:36659521-41070968"
TCGA-CD-5800-01	2	Heavily-rearranged	"3:177183971-177184547,4:137626998-137627574,17:16989442-16990018,19:28646770-31516294,GL000193.1:0-189789"
TCGA-CD-5800-01	5	BFB	"19:5455071-5655646,19:6127856-6328432,19:10130049-12733797,19:23122926-23160798,19:23257070-23457645"
TCGA-CD-5800-01	6	Linear	15:84030612-87177748
TCGA-CD-5800-01	9	Linear	18:2122503-2339885
TCGA-CD-5802-01	1	Linear	"7:16821354-16896878,7:16903750-16904347"
TCGA-CD-5802-01	3	Heavily-rearranged	"5:75465908-75466505,12:23481461-26793503,12:40537195-45989310,12:55690749-56690784,12:64726531-71589846,12:98347209-98347806,12:98363916-98364513,19:28994045-31363354,GL000208.1:0-92689"
TCGA-CD-5802-01	4	Linear	17:57922441-57947414
TCGA-CF-A1HS-01	1	Linear	2:102319922-102723344
TCGA-CF-A1HS-01	2	Heavily-rearranged	"1:80533743-80534171,3:63273577-76896421,4:74041773-74042201,6:17872851-18073278,6:18182424-18382852,6:18386951-24263783,6:37374910-39280769,6:46776916-46797344,6:52647396-52647824,8:75212689-75213117,16:71185853-74416131,17:27163065-27466604,17:30058011-31346703,17:37082941-37083369,X:70719141-70719569,GL000220.1:0-161802"
TCGA-CF-A1HS-01	5	Linear	"5:814232-32321206,5:32627829-32628257"
TCGA-CF-A1HS-01	6	Circular	17:25868299-26294853
TCGA-CF-A1HS-01	7	Linear	19:40525555-41491882
TCGA-CF-A3MG-01	1	Heavily-rearranged	"11:49401475-49601961,11:50099392-50299879,11:67873929-68074416,11:68177905-71891058"
TCGA-CF-A3MI-01	3	Heavily-rearranged	"12:75127479-75591926,12:101631376-101831804"
TCGA-CF-A3MI-01	4	Heavily-rearranged	"12:87204285-87204714,12:89200247-89400676,12:93447584-93648013,12:96222959-96443387,12:96910637-96911066,12:109574596-118781231,GL000220.1:0-161802"
TCGA-CF-A3MI-01	5	Heavily-rearranged	"7:98086445-98086874,12:40825820-45069182,12:48006145-49050629,12:54076415-55804516,12:57122141-57330593,12:57905888-59023003,20:29508550-29508979,X:3195595-3196024,Y:9603134-9623563,Y:12987064-19177920,Y:25869847-26070275,Y:27892108-28092537,Y:58866691-59067120,GL000228.1:27607-129120,GL000221.1:37354-155397,GL000216.1:0-172294,GL000225.1:0-211173"
TCGA-CG-4300-01	1	Circular	"17:35542951-40767241,22:20224400-20424981,22:20686801-22270045,GL000220.1:18322-161802"
TCGA-CG-4300-01	3	BFB	11:40637881-42675649
TCGA-CG-4301-01	5	BFB	12:68173064-74013792
TCGA-CG-4301-01	6	Circular	"8:100296356-109466878,8:114495313-123823329,17:15548000-15881645,17:16483074-16866195,17:18209725-18498438,17:19976228-21000716,17:37603599-38190001"
TCGA-CG-4301-01	7	Linear	"13:30115370-30315817,13:30380614-42636401"
TCGA-CG-4436-01	2	Linear	8:35911212-38881323
TCGA-CG-4440-01	2	Circular	"3:104062906-104401020,3:104549619-104816656,7:115692541-120568658,8:127860122-129091755"
TCGA-CG-4443-01	10	Linear	8:119472586-119504522
TCGA-CG-4443-01	12	Linear	13:72974395-74425436
TCGA-CG-4443-01	2	Heavily-rearranged	"17:76548719-80917016,GL000204.1:12338-12903"
TCGA-CG-4443-01	4	Heavily-rearranged	"7:57409567-57410132,7:138248220-138268785,13:84655503-86651391,13:113691953-113692518,15:30241301-30241866,20:38976595-38997159,20:41346401-63025520"
TCGA-CG-4443-01	6	Linear	8:84792090-84809501
TCGA-CG-4443-01	7	Linear	8:84824014-84898030
TCGA-CG-4443-01	8	Linear	8:85049068-87243508
TCGA-CG-4443-01	9	Linear	8:90080294-91056771
TCGA-CG-4444-01	10	Linear	8:100773689-101662249
TCGA-CG-4444-01	11	Linear	9:24363419-26646299
TCGA-CG-4444-01	12	Heavily-rearranged	"12:73239060-73239510,15:87388188-96088990"
TCGA-CG-4444-01	13	Linear	19:28138600-32107924
TCGA-CG-4444-01	2	Circular	"1:154144775-154145225,6:43655073-43655523,9:30516882-37254481,10:50207184-54137634,17:38244576-38445025,17:38653510-38853960,17:48752251-48752701"
TCGA-CG-4444-01	3	Linear	6:134530399-138752950
TCGA-CG-4444-01	8	Heavily-rearranged	"8:70573431-77655501,8:85570854-85608918,8:85830959-87229133,8:105882077-105882527,8:119501821-131445702,9:11274267-11474716,9:12186326-12396775,9:28650398-28891695,19:58429314-58429764"
TCGA-CG-4449-01	1	Linear	1:234930170-236174997
TCGA-CG-4449-01	10	Linear	1:233907882-234908287
TCGA-CG-4449-01	11	Circular	"22:30286486-31082160,22:37492619-38350777,22:40926674-40927144"
TCGA-CG-4449-01	12	Linear	3:184269349-184602575
TCGA-CG-4449-01	16	Heavily-rearranged	"2:232768812-232769282,11:34036391-35258401"
TCGA-CG-4449-01	17	Circular	11:73822446-74615075
TCGA-CG-4449-01	18	Linear	11:110864314-111527475
TCGA-CG-4449-01	19	BFB	"14:39894197-39894667,14:65458377-66013691"
TCGA-CG-4449-01	2	Circular	"1:28515179-28515649,1:168005265-168045735,3:75883390-76083859,16:81129439-81129909,19:11942365-17256059,19:18721622-18722092,19:19867493-35835001,20:26220129-26220599"
TCGA-CG-4449-01	3	Circular	"1:32346140-32546610,6:43103506-44502845"
TCGA-CG-4449-01	5	BFB	"1:10440297-11210278,7:2413242-2624379,17:69728462-71120831,18:19372615-19851766"
TCGA-CG-4449-01	6	Linear	8:123210956-129418985
TCGA-CG-4449-01	8	Circular	1:201799533-202504520
TCGA-CG-4449-01	9	Linear	1:225775961-226640778
TCGA-CG-4455-01	3	Heavily-rearranged	"7:89792607-89813105,7:90751329-91600609,7:92723629-92924128,7:93416434-93641761"
TCGA-CG-4455-01	4	Linear	7:97843722-101644863
TCGA-CG-4455-01	5	Circular	"11:67705153-71482879,12:61265633-72480510,17:6464051-6464550"
TCGA-CG-4466-01	5	Circular	"7:91903947-92649697,17:28287055-28527826,17:28630220-28830638,17:35933586-36212664,17:37443756-40148505"
TCGA-CG-4466-01	7	Circular	7:132464184-133184211
TCGA-CG-4466-01	8	Linear	8:41743583-42147048
TCGA-CG-4469-01	1	Circular	8:128131944-128403988
TCGA-CG-4469-01	2	Circular	"10:122568561-123074164,10:123140554-123492730"
TCGA-CG-4469-01	4	Heavily-rearranged	"5:90948879-90949434,14:22649705-22650260,14:24311274-24311829,X:44509494-46898983"
TCGA-CG-4472-01	3	Heavily-rearranged	"7:84199442-100483625,7:100685121-100968910,7:103673623-107535747"
TCGA-CG-4472-01	5	Linear	2:223738449-229575985
TCGA-CG-4472-01	7	Linear	5:52066411-52983072
TCGA-CG-4472-01	8	BFB	"12:24524603-28924946,12:104361941-104382478,12:125781143-125801679"
TCGA-CG-4475-01	1	Linear	8:117235606-131034079
TCGA-CG-4475-01	2	Circular	2:53747343-53907608
TCGA-CG-4475-01	7	BFB	"2:154523516-160684341,5:163693009-163693548,11:2452068-2452607,15:90261065-90261604"
TCGA-CG-4475-01	8	Circular	"5:146931537-146932076,7:90317703-96685858,12:62678055-77317600,13:32973635-32974174,16:8741453-8741992"
TCGA-CG-4476-01	1	Circular	"1:237104222-237104742,4:3635529-3636049,12:54035676-54236196,12:54614117-54814637,12:56409987-56610507,12:61356276-64620902,15:57821315-57821835,15:79775838-79776358,20:29508453-29508973"
TCGA-CG-5718-01	2	BFB	6:36944911-42226210
TCGA-CG-5718-01	3	Linear	20:52251685-52594225
TCGA-CG-5718-01	4	BFB	"4:77715096-77715627,5:31979064-31979595,6:36096964-36097495,10:123076128-129229541,20:21753255-21753786"
TCGA-CG-5724-01	1	Linear	8:39397014-39989571
TCGA-CG-5724-01	11	Linear	8:120973988-121048383
TCGA-CG-5724-01	12	Linear	8:121054121-121193329
TCGA-CG-5724-01	13	Circular	"4:119307903-119308437,7:135264057-135264591,8:40933034-47460945,8:48569641-48570175,8:75972118-79649287,8:100358922-112028214,8:119724672-119962665,8:124121824-130285071,X:11732130-11732664"
TCGA-CG-5724-01	14	Linear	10:80613877-81038013
TCGA-CG-5724-01	15	Linear	10:81044184-81134986
TCGA-CG-5724-01	16	Linear	10:82012098-82043737
TCGA-CG-5724-01	17	Linear	12:41830372-41889164
TCGA-CG-5724-01	2	Linear	7:117528139-117588196
TCGA-CG-5724-01	3	Linear	10:82711636-83076383
TCGA-CG-5724-01	4	Linear	8:47463861-48567083
TCGA-CG-5724-01	5	Linear	12:42393126-42586693
TCGA-CG-5724-01	6	Linear	8:66174064-68019189
TCGA-CG-5724-01	7	Linear	11:74614335-81894154
TCGA-CG-5724-01	8	Linear	12:42588121-42816314
TCGA-CG-5724-01	9	Linear	10:82242349-82351068
TCGA-CG-5725-01	2	Circular	12:63340996-69313699
TCGA-CG-5725-01	4	Circular	"6:7444881-7445293,6:52550614-54179771,6:54384963-54531961"
